"term_name"	"stage_count"	"stage"
"phosphatase activity"	2	"7dpf"
"phosphatase activity"	2	"12dpf"
"positive regulation of biological process"	2	"3dpf"
"positive regulation of biological process"	2	"12dpf"
"potassium ion transmembrane transporter activity"	2	"7dpf"
"potassium ion transmembrane transporter activity"	2	"12dpf"
"protein localization"	2	"7dpf"
"protein localization"	2	"12dpf"
"protein transport"	2	"7dpf"
"protein transport"	2	"12dpf"
"purine nucleotide metabolic process"	2	"7dpf"
"purine nucleotide metabolic process"	2	"12dpf"
"purine-containing compound metabolic process"	2	"7dpf"
"purine-containing compound metabolic process"	2	"12dpf"
"pyrophosphatase activity"	2	"7dpf"
"pyrophosphatase activity"	2	"12dpf"
"regulation of biological process"	2	"3dpf"
"regulation of biological process"	2	"12dpf"
"regulation of biosynthetic process"	2	"7dpf"
"regulation of biosynthetic process"	2	"12dpf"
"regulation of cellular process"	2	"3dpf"
"regulation of cellular process"	2	"12dpf"
"regulation of gene expression"	2	"7dpf"
"regulation of gene expression"	2	"12dpf"
"regulation of macromolecule biosynthetic process"	2	"7dpf"
"regulation of macromolecule biosynthetic process"	2	"12dpf"
"regulation of macromolecule metabolic process"	2	"7dpf"
"regulation of macromolecule metabolic process"	2	"12dpf"
"renal system development"	2	"7dpf"
"renal system development"	2	"12dpf"
"retina morphogenesis in camera-type eye"	2	"7dpf"
"retina morphogenesis in camera-type eye"	2	"12dpf"
"ribonucleotide metabolic process"	2	"7dpf"
"ribonucleotide metabolic process"	2	"12dpf"
"ribose phosphate metabolic process"	2	"7dpf"
"ribose phosphate metabolic process"	2	"12dpf"
"secondary active transmembrane transporter activity"	2	"7dpf"
"secondary active transmembrane transporter activity"	2	"12dpf"
"secretion by cell"	2	"7dpf"
"secretion by cell"	2	"12dpf"
"skeletal muscle organ development"	2	"7dpf"
"skeletal muscle organ development"	2	"12dpf"
"stem cell differentiation"	2	"7dpf"
"stem cell differentiation"	2	"12dpf"
"striated muscle cell development"	2	"3dpf"
"striated muscle cell development"	2	"12dpf"
"supramolecular fiber"	2	"7dpf"
"supramolecular fiber"	2	"12dpf"
"supramolecular polymer"	2	"7dpf"
"supramolecular polymer"	2	"12dpf"
"transcription regulator complex"	2	"7dpf"
"transcription regulator complex"	2	"12dpf"
"transmembrane receptor protein tyrosine kinase activity"	2	"3dpf"
"transmembrane receptor protein tyrosine kinase activity"	2	"7dpf"
"vacuolar membrane"	2	"7dpf"
"vacuolar membrane"	2	"12dpf"
"voltage-gated monoatomic cation channel activity"	2	"7dpf"
"voltage-gated monoatomic cation channel activity"	2	"12dpf"
