"term_name"	"stage_count"	"stage"
"mitochondrial envelope"	1	"7dpf"
"mitochondrial membrane"	1	"7dpf"
"monoatomic anion channel activity"	1	"7dpf"
"morphogenesis of an epithelial sheet"	1	"7dpf"
"myeloid cell differentiation"	1	"7dpf"
"myeloid cell homeostasis"	1	"7dpf"
"myofibril"	1	"12dpf"
"negative regulation of biological process"	1	"7dpf"
"negative regulation of cell communication"	1	"7dpf"
"negative regulation of developmental process"	1	"7dpf"
"negative regulation of signal transduction"	1	"7dpf"
"negative regulation of signaling"	1	"7dpf"
"neural retina development"	1	"7dpf"
"neuromast development"	1	"7dpf"
"nuclear transport"	1	"7dpf"
"nucleocytoplasmic transport"	1	"7dpf"
"nucleoplasm"	1	"7dpf"
"nucleotide biosynthetic process"	1	"7dpf"
"nucleotide catabolic process"	1	"7dpf"
"nucleotide metabolic process"	1	"7dpf"
"nucleus"	1	"7dpf"
"organelle envelope"	1	"7dpf"
"organophosphate biosynthetic process"	1	"7dpf"
"perinuclear region of cytoplasm"	1	"7dpf"
"phosphatidylinositol binding"	1	"7dpf"
"phospholipid biosynthetic process"	1	"7dpf"
"photoreceptor cell differentiation"	1	"7dpf"
"polymeric cytoskeletal fiber"	1	"7dpf"
"potassium channel activity"	1	"7dpf"
"potassium ion transmembrane transport"	1	"7dpf"
"potassium ion transport"	1	"7dpf"
"process utilizing autophagic mechanism"	1	"7dpf"
"pronephros development"	1	"7dpf"
"protein complex oligomerization"	1	"7dpf"
"protein homooligomerization"	1	"7dpf"
"purine nucleotide catabolic process"	1	"7dpf"
"purine ribonucleotide metabolic process"	1	"7dpf"
"purine-containing compound catabolic process"	1	"7dpf"
"regeneration"	1	"7dpf"
"regulation of catabolic process"	1	"7dpf"
"regulation of cell development"	1	"7dpf"
"regulation of cellular component organization"	1	"7dpf"
"regulation of localization"	1	"7dpf"
"regulation of transport"	1	"7dpf"
"response to endogenous stimulus"	1	"7dpf"
"response to growth factor"	1	"7dpf"
"ribonucleoprotein granule"	1	"7dpf"
"sarcomere"	1	"12dpf"
"sequence-specific DNA binding"	1	"7dpf"
"skeletal muscle tissue development"	1	"7dpf"
"small molecule binding"	1	"7dpf"
"somite development"	1	"7dpf"
"spindle"	1	"7dpf"
"tissue homeostasis"	1	"7dpf"
"transferase complex, transferring phosphorus-containing groups"	1	"7dpf"
"transport vesicle"	1	"7dpf"
"tubulin binding"	1	"7dpf"
"voltage-gated potassium channel activity"	1	"7dpf"
