"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:BP","lymphocyte costimulation","GO:0031294","0.23621556483779854","0.62669148902371","25","20","1","9107","ENSACLG00000011760"
"GO:BP","T cell costimulation","GO:0031295","0.23621556483779854","0.62669148902371","25","20","1","9107","ENSACLG00000011760"
"GO:BP","melanosome localization","GO:0032400","0.23621556483779854","0.62669148902371","13","20","1","9107","ENSACLG00000005651"
"GO:BP","response to lipopolysaccharide","GO:0032496","0.23621556483779854","0.62669148902371","33","20","1","9107","ENSACLG00000011760"
"GO:BP","mononuclear cell proliferation","GO:0032943","0.23621556483779854","0.62669148902371","35","20","1","9107","ENSACLG00000011760"
"GO:BP","regulation of mononuclear cell proliferation","GO:0032944","0.23621556483779854","0.62669148902371","34","20","1","9107","ENSACLG00000011760"
"GO:BP","positive regulation of mononuclear cell proliferation","GO:0032946","0.23621556483779854","0.62669148902371","28","20","1","9107","ENSACLG00000011760"
"GO:BP","monocarboxylic acid transport","GO:0015718","0.23621556483779854","0.62669148902371","19","20","1","9107","ENSACLG00000026372"
"GO:BP","negative regulation of cell activation","GO:0050866","0.23621556483779854","0.62669148902371","32","20","1","9107","ENSACLG00000011760"
"GO:BP","positive regulation of leukocyte cell-cell adhesion","GO:1903039","0.23621556483779854","0.62669148902371","26","20","1","9107","ENSACLG00000011760"
"GO:BP","negative regulation of leukocyte cell-cell adhesion","GO:1903038","0.23621556483779854","0.62669148902371","30","20","1","9107","ENSACLG00000011760"
"GO:BP","regulation of leukocyte cell-cell adhesion","GO:1903037","0.23621556483779854","0.62669148902371","31","20","1","9107","ENSACLG00000011760"
"GO:BP","negative regulation of immune system process","GO:0002683","0.238623961016206","0.6222859495397576","37","20","1","9107","ENSACLG00000011760"
"GO:BP","negative regulation of cell adhesion","GO:0007162","0.238623961016206","0.6222859495397576","37","20","1","9107","ENSACLG00000011760"
"GO:BP","establishment of vesicle localization","GO:0051650","0.238623961016206","0.6222859495397576","37","20","1","9107","ENSACLG00000027914"
"GO:BP","negative regulation of cell population proliferation","GO:0008285","0.238623961016206","0.6222859495397576","38","20","1","9107","ENSACLG00000011760"
"GO:BP","negative regulation of cell-cell adhesion","GO:0022408","0.238623961016206","0.6222859495397576","36","20","1","9107","ENSACLG00000011760"
"GO:BP","regulation of cell-cell adhesion","GO:0022407","0.238623961016206","0.6222859495397576","38","20","1","9107","ENSACLG00000011760"
"GO:BP","regulation of cell cycle process","GO:0010564","0.238623961016206","0.6222859495397576","38","20","1","9107","ENSACLG00000015929"
"GO:BP","hexose metabolic process","GO:0019318","0.24007774604433774","0.6196480949120177","39","20","1","9107","ENSACLG00000016831"
"GO:BP","regulation of lymphocyte activation","GO:0051249","0.24007774604433774","0.6196480949120177","39","20","1","9107","ENSACLG00000011760"
"GO:BP","macromolecule localization","GO:0033036","0.24434319920764772","0.6119997441647381","486","20","3","9107","ENSACLG00000026976,ENSACLG00000026372,ENSACLG00000027914"
"GO:BP","nuclear transport","GO:0051169","0.24434319920764772","0.6119997441647381","44","20","1","9107","ENSACLG00000026976"
"GO:BP","adenylate cyclase-modulating G protein-coupled receptor signaling pathway","GO:0007188","0.24434319920764772","0.6119997441647381","42","20","1","9107","ENSACLG00000005651"
"GO:BP","T cell activation","GO:0042110","0.24434319920764772","0.6119997441647381","42","20","1","9107","ENSACLG00000011760"
"GO:BP","regulation of leukocyte activation","GO:0002694","0.24434319920764772","0.6119997441647381","42","20","1","9107","ENSACLG00000011760"
"GO:BP","monosaccharide metabolic process","GO:0005996","0.24434319920764772","0.6119997441647381","44","20","1","9107","ENSACLG00000016831"
"GO:BP","G protein-coupled receptor signaling pathway","GO:0007186","0.24434319920764772","0.6119997441647381","482","20","3","9107","ENSACLG00000018243,ENSACLG00000016996,ENSACLG00000005651"
"GO:BP","regulation of cell activation","GO:0050865","0.24434319920764772","0.6119997441647381","43","20","1","9107","ENSACLG00000011760"
"GO:BP","pigmentation","GO:0043473","0.24434319920764772","0.6119997441647381","44","20","1","9107","ENSACLG00000005651"
"GO:BP","nucleocytoplasmic transport","GO:0006913","0.24434319920764772","0.6119997441647381","44","20","1","9107","ENSACLG00000026976"
"GO:BP","carboxylic acid transport","GO:0046942","0.24434319920764772","0.6119997441647381","43","20","1","9107","ENSACLG00000026372"
"GO:BP","organic acid transport","GO:0015849","0.24754104550249273","0.6063527791252368","45","20","1","9107","ENSACLG00000026372"
"GO:BP","negative regulation of transcription by RNA polymerase II","GO:0000122","0.25374570490968706","0.5956013002109833","47","20","1","9107","ENSACLG00000013033"
"GO:BP","regulation of cell adhesion","GO:0030155","0.25374570490968706","0.5956013002109833","47","20","1","9107","ENSACLG00000011760"
"GO:BP","autophagy","GO:0006914","0.2597061483792649","0.5855177686010422","49","20","1","9107","ENSACLG00000027914"
"GO:BP","process utilizing autophagic mechanism","GO:0061919","0.2597061483792649","0.5855177686010422","49","20","1","9107","ENSACLG00000027914"
"GO:BP","mitotic cell cycle process","GO:1903047","0.2688244626166395","0.5705312136836074","52","20","1","9107","ENSACLG00000015929"
"GO:BP","localization","GO:0051179","0.2688244626166395","0.5705312136836074","1543","20","6","9107","ENSACLG00000008394,ENSACLG00000026393,ENSACLG00000026976,ENSACLG00000005651,ENSACLG00000026372,ENSACLG00000027914"
"GO:BP","Golgi vesicle transport","GO:0048193","0.2688244626166395","0.5705312136836074","53","20","1","9107","ENSACLG00000027914"
"GO:BP","cellular response to lipid","GO:0071396","0.2688244626166395","0.5705312136836074","53","20","1","9107","ENSACLG00000011760"
"GO:BP","positive regulation of intracellular signal transduction","GO:1902533","0.2688244626166395","0.5705312136836074","53","20","1","9107","ENSACLG00000015929"
"GO:BP","purine ribonucleotide biosynthetic process","GO:0009152","0.2720200109786446","0.5653991461939865","55","20","1","9107","ENSACLG00000005651"
"GO:BP","establishment of organelle localization","GO:0051656","0.2720200109786446","0.5653991461939865","55","20","1","9107","ENSACLG00000027914"
"GO:BP","chloride transmembrane transport","GO:1902476","0.2720200109786446","0.5653991461939865","55","20","1","9107","ENSACLG00000008394"
"GO:BP","organic anion transport","GO:0015711","0.27252059182687566","0.5646006765840004","56","20","1","9107","ENSACLG00000026372"
"GO:BP","chloride transport","GO:0006821","0.27252059182687566","0.5646006765840004","56","20","1","9107","ENSACLG00000008394"
"GO:BP","positive regulation of cell population proliferation","GO:0008284","0.2775009656306873","0.5567355013076134","58","20","1","9107","ENSACLG00000011760"
"GO:BP","defense response to bacterium","GO:0042742","0.2775009656306873","0.5567355013076134","58","20","1","9107","ENSACLG00000023768"
"GO:BP","lymphocyte activation","GO:0046649","0.2808305287600825","0.5515556823279855","60","20","1","9107","ENSACLG00000011760"
"GO:BP","protein transport","GO:0015031","0.2808305287600825","0.5515556823279855","285","20","2","9107","ENSACLG00000026976,ENSACLG00000027914"
"GO:BP","establishment of protein localization to organelle","GO:0072594","0.2808305287600825","0.5515556823279855","61","20","1","9107","ENSACLG00000026976"
"GO:BP","intracellular transport","GO:0046907","0.2808305287600825","0.5515556823279855","282","20","2","9107","ENSACLG00000026976,ENSACLG00000027914"
"GO:BP","response to other organism","GO:0051707","0.2808305287600825","0.5515556823279855","286","20","2","9107","ENSACLG00000023768,ENSACLG00000011760"
"GO:BP","negative regulation of multicellular organismal process","GO:0051241","0.2808305287600825","0.5515556823279855","61","20","1","9107","ENSACLG00000011760"
"GO:BP","response to external biotic stimulus","GO:0043207","0.2808305287600825","0.5515556823279855","286","20","2","9107","ENSACLG00000023768,ENSACLG00000011760"
"GO:BP","inorganic anion transmembrane transport","GO:0098661","0.2808305287600825","0.5515556823279855","63","20","1","9107","ENSACLG00000008394"
"GO:BP","positive regulation of biological process","GO:0048518","0.2808305287600825","0.5515556823279855","577","20","3","9107","ENSACLG00000013033,ENSACLG00000015929,ENSACLG00000011760"
"GO:BP","response to biotic stimulus","GO:0009607","0.2808305287600825","0.5515556823279855","288","20","2","9107","ENSACLG00000023768,ENSACLG00000011760"
"GO:BP","signal transduction","GO:0007165","0.28129119769798455","0.5508438577779383","2020","20","7","9107","ENSACLG00000018243,ENSACLG00000016996,ENSACLG00000026976,ENSACLG00000005651,ENSACLG00000015929,ENSACLG00000011760,ENSACLG00000011160"
"GO:BP","response to lipid","GO:0033993","0.28129119769798455","0.5508438577779383","65","20","1","9107","ENSACLG00000011760"
"GO:BP","purine nucleotide biosynthetic process","GO:0006164","0.28129119769798455","0.5508438577779383","64","20","1","9107","ENSACLG00000005651"
"GO:BP","ribonucleotide biosynthetic process","GO:0009260","0.28129119769798455","0.5508438577779383","65","20","1","9107","ENSACLG00000005651"
"GO:BP","ribose phosphate biosynthetic process","GO:0046390","0.2818755373080416","0.5499426129298218","66","20","1","9107","ENSACLG00000005651"
"GO:BP","biological process involved in interspecies interaction between organisms","GO:0044419","0.2819815753632637","0.5497792674943819","296","20","2","9107","ENSACLG00000023768,ENSACLG00000011760"
"GO:BP","positive regulation of multicellular organismal process","GO:0051240","0.28209202180445253","0.5496091964936898","67","20","1","9107","ENSACLG00000011760"
"GO:BP","leukocyte activation","GO:0045321","0.2822658456081252","0.5493416686518553","68","20","1","9107","ENSACLG00000011760"
"GO:BP","sexual reproduction","GO:0019953","0.2822658456081252","0.5493416686518553","68","20","1","9107","ENSACLG00000017032"
"GO:BP","establishment of protein localization","GO:0045184","0.2822658456081252","0.5493416686518553","301","20","2","9107","ENSACLG00000026976,ENSACLG00000027914"
"GO:BP","chromosome organization","GO:0051276","0.2900775563089404","0.5374858718462393","71","20","1","9107","ENSACLG00000015929"
"GO:BP","positive regulation of transcription by RNA polymerase II","GO:0045944","0.29574318550506296","0.5290852535694965","73","20","1","9107","ENSACLG00000013033"
"GO:BP","reproductive process","GO:0022414","0.29759247388935384","0.5263780562903198","74","20","1","9107","ENSACLG00000017032"
"GO:BP","regulation of cell cycle","GO:0051726","0.29814542351721207","0.5255718526153256","75","20","1","9107","ENSACLG00000015929"
"GO:BP","signaling","GO:0023052","0.29814542351721207","0.5255718526153256","2093","20","7","9107","ENSACLG00000018243,ENSACLG00000016996,ENSACLG00000026976,ENSACLG00000005651,ENSACLG00000015929,ENSACLG00000011760,ENSACLG00000011160"
"GO:BP","intracellular signal transduction","GO:0035556","0.29814542351721207","0.5255718526153256","628","20","3","9107","ENSACLG00000005651,ENSACLG00000015929,ENSACLG00000011160"
"GO:BP","cell activation","GO:0001775","0.29814542351721207","0.5255718526153256","76","20","1","9107","ENSACLG00000011760"
"GO:BP","monoatomic anion transmembrane transport","GO:0098656","0.29814542351721207","0.5255718526153256","76","20","1","9107","ENSACLG00000008394"
"GO:BP","monoatomic anion transport","GO:0006820","0.2986357576496842","0.5248581925246227","78","20","1","9107","ENSACLG00000008394"
"GO:BP","cell communication","GO:0007154","0.2986357576496842","0.5248581925246227","2106","20","7","9107","ENSACLG00000018243,ENSACLG00000016996,ENSACLG00000026976,ENSACLG00000005651,ENSACLG00000015929,ENSACLG00000011760,ENSACLG00000011160"
"GO:BP","establishment of localization in cell","GO:0051649","0.2986357576496842","0.5248581925246227","325","20","2","9107","ENSACLG00000026976,ENSACLG00000027914"
"GO:BP","inorganic anion transport","GO:0015698","0.3059918415526503","0.5142901526553447","81","20","1","9107","ENSACLG00000008394"
"GO:BP","cellular response to oxygen-containing compound","GO:1901701","0.31104543467797247","0.5071761685656934","83","20","1","9107","ENSACLG00000011760"
"GO:BP","mitotic cell cycle","GO:0000278","0.31601047310760644","0.5002985239085896","85","20","1","9107","ENSACLG00000015929"
"GO:BP","nucleotide biosynthetic process","GO:0009165","0.3175236618570161","0.49822390554985585","86","20","1","9107","ENSACLG00000005651"
"GO:BP","protein localization to organelle","GO:0033365","0.3227777704043034","0.4910963826339163","89","20","1","9107","ENSACLG00000026976"
"GO:BP","protein localization","GO:0008104","0.3227777704043034","0.4910963826339163","351","20","2","9107","ENSACLG00000026976,ENSACLG00000027914"
"GO:BP","purine-containing compound biosynthetic process","GO:0072522","0.3227777704043034","0.4910963826339163","89","20","1","9107","ENSACLG00000005651"
"GO:BP","cellular macromolecule localization","GO:0070727","0.32377028944114744","0.4897630064899006","353","20","2","9107","ENSACLG00000026976,ENSACLG00000027914"
"GO:BP","positive regulation of signal transduction","GO:0009967","0.3247269868515256","0.4884816172758303","91","20","1","9107","ENSACLG00000015929"
"GO:BP","regulation of cell population proliferation","GO:0042127","0.3260981080354346","0.4866517208878618","92","20","1","9107","ENSACLG00000011760"
"GO:BP","nitrogen compound transport","GO:0071705","0.3295226257484365","0.4821147604316052","361","20","2","9107","ENSACLG00000026976,ENSACLG00000027914"
"GO:BP","positive regulation of signaling","GO:0023056","0.33007961742912495","0.4813812927292497","95","20","1","9107","ENSACLG00000015929"
"GO:BP","positive regulation of cell communication","GO:0010647","0.33007961742912495","0.4813812927292497","95","20","1","9107","ENSACLG00000015929"
"GO:BP","purine ribonucleotide metabolic process","GO:0009150","0.33447578476019596","0.47563531863069297","97","20","1","9107","ENSACLG00000005651"
"GO:BP","innate immune response","GO:0045087","0.33879727336546855","0.4700600935216619","99","20","1","9107","ENSACLG00000023768"
"GO:BP","cellular response to stimulus","GO:0051716","0.3501464651969132","0.45575025358908405","2268","20","7","9107","ENSACLG00000018243,ENSACLG00000016996,ENSACLG00000026976,ENSACLG00000005651,ENSACLG00000015929,ENSACLG00000011760,ENSACLG00000011160"
"GO:BP","membrane organization","GO:0061024","0.3501464651969132","0.45575025358908405","106","20","1","9107","ENSACLG00000027914"
"GO:BP","negative regulation of RNA biosynthetic process","GO:1902679","0.3501464651969132","0.45575025358908405","107","20","1","9107","ENSACLG00000013033"
"GO:BP","response to oxygen-containing compound","GO:1901700","0.3501464651969132","0.45575025358908405","104","20","1","9107","ENSACLG00000011760"
"GO:BP","negative regulation of DNA-templated transcription","GO:0045892","0.3501464651969132","0.45575025358908405","107","20","1","9107","ENSACLG00000013033"
"GO:BP","transport","GO:0006810","0.3501464651969132","0.45575025358908405","1465","20","5","9107","ENSACLG00000008394,ENSACLG00000026393,ENSACLG00000026976,ENSACLG00000026372,ENSACLG00000027914"
"GO:BP","small molecule biosynthetic process","GO:0044283","0.3501464651969132","0.45575025358908405","107","20","1","9107","ENSACLG00000016831"
"GO:BP","ribonucleotide metabolic process","GO:0009259","0.35073723896567277","0.45501812114809825","108","20","1","9107","ENSACLG00000005651"
"GO:BP","microtubule-based movement","GO:0007018","0.35193851956185607","0.4535331971669589","110","20","1","9107","ENSACLG00000004831"
"GO:BP","negative regulation of RNA metabolic process","GO:0051253","0.35193851956185607","0.4535331971669589","111","20","1","9107","ENSACLG00000013033"
"GO:BP","establishment of localization","GO:0051234","0.35193851956185607","0.4535331971669589","1486","20","5","9107","ENSACLG00000008394,ENSACLG00000026393,ENSACLG00000026976,ENSACLG00000026372,ENSACLG00000027914"
"GO:BP","ribose phosphate metabolic process","GO:0019693","0.35193851956185607","0.4535331971669589","110","20","1","9107","ENSACLG00000005651"
"GO:BP","defense response to symbiont","GO:0140546","0.35292147555633774","0.4523219136665583","112","20","1","9107","ENSACLG00000023768"
"GO:BP","transmembrane transport","GO:0055085","0.3630754034998874","0.44000317131870914","755","20","3","9107","ENSACLG00000008394,ENSACLG00000026393,ENSACLG00000026372"
"GO:BP","purine nucleotide metabolic process","GO:0006163","0.3630754034998874","0.44000317131870914","117","20","1","9107","ENSACLG00000005651"
"GO:BP","lipid transport","GO:0006869","0.3675088449840125","0.434732204113056","120","20","1","9107","ENSACLG00000026372"
"GO:BP","nucleoside phosphate biosynthetic process","GO:1901293","0.3675088449840125","0.434732204113056","120","20","1","9107","ENSACLG00000005651"
"GO:BP","lipid localization","GO:0010876","0.3683374360219841","0.43375413932716944","121","20","1","9107","ENSACLG00000026372"
"GO:BP","synaptic signaling","GO:0099536","0.3691521126325669","0.43279464179646493","122","20","1","9107","ENSACLG00000026976"
"GO:BP","negative regulation of nucleobase-containing compound metabolic process","GO:0045934","0.3752114881136448","0.4257238729902457","125","20","1","9107","ENSACLG00000013033"
"GO:BP","cell population proliferation","GO:0008283","0.3759618889326351","0.4248561770540744","126","20","1","9107","ENSACLG00000011760"
"GO:BP","regulation of organelle organization","GO:0033043","0.3870029132721716","0.4122857656961629","131","20","1","9107","ENSACLG00000015929"
